294;0;0;0;0;0;0;0;9;2
1;268;13;1;1;8;1;8;0;4
1;6;250;16;1;26;1;0;0;4
0;4;12;259;1;10;0;1;9;9
0;6;1;0;289;2;3;1;1;2
0;3;9;4;0;270;8;2;7;2
13;1;0;0;1;1;269;0;17;3
1;7;0;1;0;2;0;291;0;3
22;1;0;0;0;2;8;0;268;4
8;2;5;1;1;0;1;3;9;275

295;0;0;0;0;0;0;0;10;0
1;268;12;0;1;9;1;10;0;3
0;3;256;8;4;26;1;0;0;7
0;5;16;258;0;12;0;1;7;6
0;6;2;0;285;2;5;2;1;2
0;2;12;2;0;267;12;3;6;1
14;1;0;0;2;1;271;0;16;0
1;4;0;0;0;4;1;292;0;3
20;2;0;0;1;2;7;0;269;4
10;3;4;3;2;0;2;2;12;267

293;0;0;0;0;0;0;0;12;0
2;259;13;1;2;14;4;7;0;3
0;4;255;3;4;30;1;0;2;6
0;4;12;254;2;11;0;1;11;10
1;3;4;0;284;2;4;4;1;2
0;6;15;2;1;260;10;3;7;1
14;1;0;0;2;1;267;0;20;0
2;5;0;0;0;3;1;291;0;3
25;4;0;0;0;2;11;0;259;4
14;3;3;5;3;0;1;2;10;264

290;0;0;0;0;0;0;0;15;0
2;258;16;1;2;13;4;6;0;3
2;3;252;7;2;30;1;0;3;5
1;4;14;252;2;12;0;1;11;8
2;7;4;0;281;3;3;2;1;2
0;6;13;3;0;261;11;3;7;1
16;1;0;0;3;0;264;0;21;0
3;5;0;0;0;2;1;290;1;3
28;4;0;0;0;2;8;0;257;6
16;1;2;5;3;2;1;2;10;263
