296;0;0;0;0;0;0;0;9;0
0;291;2;0;1;5;0;5;0;1
0;12;283;0;0;4;0;0;3;3
0;4;0;291;0;1;0;1;0;8
2;2;0;0;294;0;0;0;1;6
0;6;3;5;0;290;0;1;0;0
1;1;0;0;1;0;300;0;2;0
0;3;0;0;0;1;0;301;0;0
14;0;0;0;1;0;7;0;283;0
2;3;0;3;1;0;0;1;3;292

296;0;0;0;0;0;0;0;9;0
0;289;2;0;1;6;0;6;0;1
0;12;281;0;0;3;0;0;4;5
0;5;0;288;0;2;0;1;0;9
2;2;0;0;294;0;0;0;1;6
0;6;4;3;0;290;0;2;0;0
1;1;0;0;2;0;299;0;2;0
0;4;0;0;0;1;0;300;0;0
15;0;0;0;3;0;4;0;281;2
3;3;0;2;0;0;0;1;3;293

294;0;0;0;0;0;0;0;11;0
0;291;3;1;0;5;0;4;0;1
0;12;278;1;1;3;0;0;4;6
0;6;2;282;0;4;0;1;0;10
2;3;0;0;293;0;0;0;1;6
0;7;4;3;0;289;0;2;0;0
1;1;0;0;2;0;297;0;4;0
0;2;0;0;0;1;0;302;0;0
17;1;0;0;1;0;7;0;279;0
5;3;0;1;0;0;0;1;1;294

295;0;0;0;0;0;0;0;10;0
0;290;3;1;0;5;0;5;0;1
0;10;280;2;1;2;0;0;4;6
0;7;1;281;0;4;0;1;0;11
2;5;0;0;291;0;1;0;1;5
0;8;4;3;0;288;0;2;0;0
2;1;0;0;3;0;294;0;5;0
0;3;0;0;0;1;0;301;0;0
13;1;0;0;2;0;5;0;284;0
6;4;0;1;0;0;0;1;1;292
